Date,Open,High,Low,Close
05/20/2024,"16,702.02","16,823.83","16,695.69","16,794.87"
05/17/2024,"16,708.49","16,726.41","16,613.84","16,685.97"
05/16/2024,"16,738.11","16,797.83","16,693.45","16,698.32"
05/15/2024,"16,601.14","16,749.74","16,544.09","16,742.39"
05/14/2024,"16,391.16","16,526.27","16,386.44","16,511.18"
05/13/2024,"16,400.31","16,407.06","16,334.86","16,388.24"
05/10/2024,"16,389.02","16,437.39","16,293.52","16,340.87"
05/09/2024,"16,323.74","16,362.79","16,241.98","16,346.26"
05/08/2024,"16,226.07","16,341.65","16,226.07","16,302.76"
05/07/2024,"16,358.34","16,397.39","16,303.84","16,332.56"
05/06/2024,"16,208.54","16,350.08","16,197.86","16,349.25"
05/03/2024,"16,147.48","16,204.71","16,068.34","16,156.33"
05/02/2024,"15,758.11","15,862.79","15,604.73","15,840.96"
05/01/2024,"15,646.09","15,926.22","15,557.64","15,605.48"
04/30/2024,"15,920.89","15,979.36","15,655.67","15,657.82"
04/29/2024,"16,007.00","16,021.50","15,885.89","15,983.08"
04/26/2024,"15,821.34","15,981.00","15,770.72","15,927.90"
04/25/2024,"15,375.26","15,644.51","15,343.91","15,611.76"
04/24/2024,"15,805.60","15,839.00","15,634.44","15,712.75"
04/23/2024,"15,525.55","15,730.35","15,510.59","15,696.64"
04/22/2024,"15,396.13","15,539.00","15,265.66","15,451.31"
04/19/2024,"15,547.10","15,576.70","15,222.78","15,282.01"
04/18/2024,"15,705.70","15,786.12","15,587.50","15,601.50"
04/17/2024,"15,942.29","15,957.03","15,654.51","15,683.37"
04/16/2024,"15,856.38","15,965.79","15,822.02","15,865.25"
04/15/2024,"16,276.48","16,295.27","15,863.88","15,885.02"
04/12/2024,"16,293.03","16,341.46","16,125.33","16,175.09"
04/11/2024,"16,236.20","16,464.60","16,154.65","16,442.20"
04/10/2024,"16,104.01","16,200.10","16,092.02","16,170.36"
04/09/2024,"16,328.76","16,348.18","16,141.15","16,306.64"
04/08/2024,"16,285.18","16,323.60","16,220.72","16,253.96"
04/05/2024,"16,095.40","16,326.50","16,080.49","16,248.52"
04/04/2024,"16,418.57","16,468.04","16,046.56","16,049.08"
04/03/2024,"16,178.80","16,340.75","16,169.31","16,277.46"
04/02/2024,"16,199.24","16,251.41","16,137.24","16,240.45"
04/01/2024,"16,397.05","16,490.65","16,327.89","16,396.83"
03/28/2024,"16,377.23","16,420.92","16,347.38","16,379.46"
03/27/2024,"16,424.76","16,431.82","16,279.17","16,399.52"
03/26/2024,"16,446.85","16,476.38","16,312.95","16,315.70"
03/25/2024,"16,335.30","16,441.17","16,315.72","16,384.47"
03/22/2024,"16,387.83","16,467.62","16,361.00","16,428.82"
03/21/2024,"16,517.24","16,538.86","16,393.90","16,401.84"
03/20/2024,"16,185.76","16,377.44","16,127.48","16,369.41"
03/19/2024,"16,031.93","16,175.59","15,951.86","16,166.79"
03/18/2024,"16,154.92","16,247.59","16,094.17","16,103.45"
03/15/2024,"16,043.58","16,055.33","15,925.91","15,973.17"
03/14/2024,"16,209.19","16,245.32","16,039.68","16,128.53"
03/13/2024,"16,220.11","16,233.30","16,143.34","16,177.77"
03/12/2024,"16,116.98","16,275.45","15,992.98","16,265.64"
03/11/2024,"16,052.63","16,085.95","15,978.04","16,019.27"
03/08/2024,"16,322.10","16,449.70","16,059.50","16,085.11"
03/07/2024,"16,147.32","16,309.02","16,096.01","16,273.38"
03/06/2024,"16,092.00","16,128.56","15,956.66","16,031.54"
03/05/2024,"16,077.74","16,087.57","15,862.63","15,939.59"
03/04/2024,"16,264.21","16,289.06","16,199.06","16,207.51"
03/01/2024,"16,109.83","16,302.24","16,096.60","16,274.94"
02/29/2024,"16,059.34","16,115.96","15,931.70","16,091.92"
02/28/2024,"15,969.14","16,003.56","15,924.72","15,947.74"
02/27/2024,"16,013.98","16,046.10","15,940.51","16,035.30"
02/26/2024,"16,014.45","16,054.90","15,973.90","15,976.25"
02/23/2024,"16,094.80","16,134.22","15,954.50","15,996.82"
02/22/2024,"15,904.48","16,061.82","15,869.24","16,041.62"
02/21/2024,"15,532.12","15,583.68","15,451.65","15,580.87"
02/20/2024,"15,679.84","15,730.47","15,508.50","15,630.78"
02/16/2024,"15,910.43","15,917.41","15,752.02","15,775.65"
02/15/2024,"15,865.30","15,911.22","15,779.72","15,906.17"
02/14/2024,"15,781.71","15,865.51","15,683.94","15,859.15"
02/13/2024,"15,598.88","15,770.42","15,551.44","15,655.60"
02/12/2024,"15,980.62","16,080.07","15,917.87","15,942.55"
02/09/2024,"15,842.38","16,007.29","15,831.76","15,990.66"
02/08/2024,"15,762.23","15,813.27","15,739.18","15,793.71"
02/07/2024,"15,690.36","15,770.68","15,645.81","15,756.64"
02/06/2024,"15,638.19","15,652.75","15,515.25","15,609.00"
02/05/2024,"15,613.99","15,637.88","15,471.68","15,597.68"
02/02/2024,"15,403.16","15,664.21","15,366.78","15,628.95"
02/01/2024,"15,254.02","15,372.13","15,208.88","15,361.64"
01/31/2024,"15,324.19","15,405.56","15,158.49","15,164.01"
01/30/2024,"15,604.08","15,619.23","15,484.67","15,509.90"
01/29/2024,"15,470.66","15,630.59","15,449.87","15,628.04"
01/26/2024,"15,474.85","15,538.84","15,433.04","15,455.36"
01/25/2024,"15,555.62","15,597.25","15,430.68","15,510.50"
01/24/2024,"15,560.61","15,629.07","15,468.91","15,481.92"
01/23/2024,"15,391.41","15,432.35","15,337.23","15,425.94"
01/22/2024,"15,393.05","15,438.85","15,333.63","15,360.29"
01/19/2024,"15,122.38","15,310.97","15,087.20","15,310.97"
01/18/2024,"14,994.52","15,066.81","14,911.11","15,055.65"
01/17/2024,"14,814.77","14,865.76","14,706.23","14,855.62"
01/16/2024,"14,908.26","15,004.35","14,863.81","14,944.35"
01/12/2024,"15,001.01","15,047.25","14,931.88","14,972.76"
01/11/2024,"15,020.95","15,063.61","14,800.38","14,970.19"
01/10/2024,"14,877.70","14,998.20","14,842.70","14,969.65"
01/09/2024,"14,744.13","14,894.32","14,716.71","14,857.71"
01/08/2024,"14,564.47","14,846.90","14,560.20","14,843.77"
01/05/2024,"14,500.11","14,625.19","14,477.57","14,524.07"
01/04/2024,"14,532.23","14,632.77","14,504.78","14,510.30"
01/03/2024,"14,641.47","14,694.58","14,577.44","14,592.21"
01/02/2024,"14,873.70","14,887.80","14,682.38","14,765.94"
12/29/2023,"15,099.20","15,111.41","14,955.37","15,011.35"
12/28/2023,"15,142.10","15,150.07","15,087.22","15,095.14"
12/27/2023,"15,089.66","15,114.08","15,051.67","15,099.18"
12/26/2023,"15,028.69","15,101.18","15,024.06","15,074.57"
12/22/2023,"15,006.18","15,047.19","14,927.12","14,992.97"
12/21/2023,"14,923.14","14,970.81","14,837.47","14,963.87"
12/20/2023,"14,973.36","15,069.29","14,776.29","14,777.94"
12/19/2023,"14,923.02","15,003.80","14,921.60","15,003.22"
12/18/2023,"14,814.02","14,938.04","14,811.82","14,904.81"
12/15/2023,"14,797.46","14,848.41","14,753.16","14,813.92"
12/14/2023,"14,798.72","14,855.62","14,642.23","14,761.56"
12/13/2023,"14,555.68","14,743.56","14,517.53","14,733.96"
12/12/2023,"14,423.01","14,533.40","14,385.39","14,533.40"
12/11/2023,"14,340.13","14,436.08","14,324.57","14,432.49"
12/08/2023,"14,279.46","14,416.92","14,264.96","14,403.97"
12/07/2023,"14,230.44","14,353.11","14,220.87","14,339.99"
12/06/2023,"14,325.62","14,327.64","14,138.51","14,146.71"
12/05/2023,"14,126.40","14,285.66","14,121.76","14,229.91"
12/04/2023,"14,168.66","14,197.52","14,058.52","14,185.49"
12/01/2023,"14,181.36","14,311.95","14,135.00","14,305.03"
11/30/2023,"14,265.05","14,289.20","14,127.06","14,226.22"
11/29/2023,"14,367.11","14,423.22","14,247.89","14,258.49"
11/28/2023,"14,224.63","14,303.66","14,195.72","14,281.76"
11/27/2023,"14,239.31","14,305.71","14,205.24","14,241.02"
11/24/2023,"14,238.04","14,270.28","14,214.13","14,250.85"
11/22/2023,"14,283.82","14,359.61","14,226.63","14,265.86"
11/21/2023,"14,217.23","14,237.50","14,146.31","14,199.98"
11/20/2023,"14,134.75","14,309.80","14,134.20","14,284.53"
11/17/2023,"14,101.44","14,154.32","14,063.93","14,125.48"
11/16/2023,"14,066.88","14,130.45","14,033.79","14,113.67"
11/15/2023,"14,147.27","14,194.36","14,060.70","14,103.84"
11/14/2023,"14,015.37","14,124.06","14,003.14","14,094.38"
11/13/2023,"13,745.96","13,805.11","13,687.78","13,767.74"
11/10/2023,"13,571.19","13,802.53","13,556.35","13,798.11"
11/09/2023,"13,693.70","13,697.82","13,506.02","13,521.45"
11/08/2023,"13,660.22","13,684.87","13,573.58","13,650.41"
11/07/2023,"13,555.79","13,675.46","13,516.56","13,639.86"
11/06/2023,"13,514.08","13,551.62","13,435.99","13,518.78"
